DateTime,Date,Time,Temperature (C),Humidity (%),Soil Moisture (%),Rain(%)
01-01-2023 00:00,01-01-2023,00:00:00,31,63,45,0
01-01-2023 00:30,01-01-2023,00:30:00,30,61,44,0
01-01-2023 01:00,01-01-2023,01:00:00,29,59,43,0
01-01-2023 01:30,01-01-2023,01:30:00,28,57,41,0
01-01-2023 02:00,01-01-2023,02:00:00,28,55,40,0
01-01-2023 02:30,01-01-2023,02:30:00,27,53,39,0
01-01-2023 03:00,01-01-2023,03:00:00,26,51,37,0
01-01-2023 03:30,01-01-2023,03:30:00,25,49,36,0
01-01-2023 04:00,01-01-2023,04:00:00,24,48,35,0
01-01-2023 04:30,01-01-2023,04:30:00,23,46,34,0
01-01-2023 05:00,01-01-2023,05:00:00,22,44,33,0
01-01-2023 05:30,01-01-2023,05:30:00,22,43,32,0
01-01-2023 06:00,01-01-2023,06:00:00,21,42,31,0
01-01-2023 06:30,01-01-2023,06:30:00,21,41,31,0
01-01-2023 07:00,01-01-2023,07:00:00,20,41,30,0
01-01-2023 07:30,01-01-2023,07:30:00,20,40,30,0
01-01-2023 08:00,01-01-2023,08:00:00,20,40,30,0
01-01-2023 08:30,01-01-2023,08:30:00,20,40,30,0
01-01-2023 09:00,01-01-2023,09:00:00,20,41,30,0
01-01-2023 09:30,01-01-2023,09:30:00,21,41,31,0
01-01-2023 10:00,01-01-2023,10:00:00,21,42,31,0
01-01-2023 10:30,01-01-2023,10:30:00,22,43,32,0
01-01-2023 11:00,01-01-2023,11:00:00,22,44,33,0
01-01-2023 11:30,01-01-2023,11:30:00,23,46,34,0
01-01-2023 12:00,01-01-2023,12:00:00,24,48,35,0
01-01-2023 12:30,01-01-2023,12:30:00,25,49,36,0
01-01-2023 13:00,01-01-2023,13:00:00,26,51,37,0
01-01-2023 13:30,01-01-2023,13:30:00,27,53,39,0
01-01-2023 14:00,01-01-2023,14:00:00,28,55,40,0
01-01-2023 14:30,01-01-2023,14:30:00,28,57,41,0
01-01-2023 15:00,01-01-2023,15:00:00,29,59,43,0
01-01-2023 15:30,01-01-2023,15:30:00,30,61,44,0
01-01-2023 16:00,01-01-2023,16:00:00,31,63,45,0
01-01-2023 16:30,01-01-2023,16:30:00,32,64,46,0
01-01-2023 17:00,01-01-2023,17:00:00,33,66,47,0
01-01-2023 17:30,01-01-2023,17:30:00,33,67,48,0
01-01-2023 18:00,01-01-2023,18:00:00,34,68,49,0
